technique;source;target;interaction_number;locator_number;interactions;locators;tests;found time
akaze_cropped;Nexus5;Nexus 6 ;170;52;162;46;23;1790
akaze_cropped;Nexus5;Nexus 6p;170;52;157;45;22;1790
akaze_cropped;Nexus5;Pixel 2;170;52;136;48;7;1270
akaze_cropped;Nexus5;Pixel 3;170;52;167;50;28;1260
akaze_cropped;Nexus5;Pixel 3A;170;52;167;51;28;1310
akaze_cropped;Nexus S;Nexus5;167;50;138;31;5;630
akaze_cropped;Nexus S;Nexus5x;167;50;112;31;1;620
akaze_cropped;Nexus S;Pixel 2xl;167;50;108;28;1;1760
akaze_cropped;Nexus S;Pixel;167;50;112;31;1;600
akaze_cropped;Nexus S;Pixel XL;167;50;106;28;1;1000
akaze_cropped;Nexus S;Pixel 3XL;167;50;103;26;1;1120
akaze_cropped;Nexus S;Nexus 4;167;50;136;31;5;370
akaze_cropped;Nexus S;Nexus S;167;50;138;32;6;250
akaze_cropped;Nexus S;Pixel 3a XL;167;50;136;30;5;670
akaze_cropped;Nexus S;Nexus 6 ;167;50;103;26;1;1050
akaze_cropped;Nexus S;Nexus 6p;167;50;105;28;1;1020
akaze_cropped;Nexus S;Pixel 2;167;50;106;30;1;650
akaze_cropped;Nexus S;Pixel 3;167;50;132;30;4;670
akaze_cropped;Nexus S;Pixel 3A;167;50;136;31;5;770
akaze_cropped;Pixel 3;Nexus5;170;52;165;49;26;1250
akaze_cropped;Pixel 3;Nexus5x;170;52;166;49;27;1230
akaze_cropped;Pixel 3;Pixel 2xl;170;52;136;45;6;1960
akaze_cropped;Pixel 3;Pixel;170;52;166;49;27;1400
akaze_cropped;Pixel 3;Pixel XL;170;52;137;45;6;1900
akaze_cropped;Pixel 3;Pixel 3XL;170;52;135;45;6;2050
akaze_cropped;Pixel 3;Nexus 4;170;52;148;37;12;960
akaze_cropped;Pixel 3;Nexus S;167;50;136;29;4;850
akaze_cropped;Pixel 3;Pixel 3a XL;170;52;165;50;26;2220
akaze_cropped;Pixel 3;Nexus 6 ;170;52;138;46;6;1620
akaze_cropped;Pixel 3;Nexus 6p;170;52;131;44;6;1620
akaze_cropped;Pixel 3;Pixel 2;170;52;158;47;24;1430
