technique;source;target;interaction_number;locator_number;interactions;locators;tests;found time;app
akaze_cropped;Nexus S;Nexus S;234;77;132;34;3;325;antennapod
sift_cropped;Pixel 3;Nexus S;234;77;149;35;1;834;antennapod
eyeautomate;Nexus5;Nexus 6p;170;52;147;35;16;656.7;passandroid
eyeautomate;Pixel 3;Pixel 3a XL;170;52;93;35;2;540;passandroid
eyeautomate;Pixel 3;Nexus 6p;170;52;146;35;16;774.7;passandroid
surf_cropped;Nexus5;Pixel 2;170;52;165;35;22;1310;passandroid
surf_cropped;Nexus S;Pixel 2;167;50;138;35;11;1160;passandroid
eyeautomate;Nexus5;Pixel;234;77;88;36;0;199;antennapod
eyeautomate;Nexus5;Nexus 4;170;52;135;36;11;437.2;passandroid
eyeautomate;Pixel 3;Nexus5;170;52;130;36;12;804.5;passandroid
eyeautomate;Nexus5;Nexus 6;234;77;137;37;0;263;antennapod
surf_cropped;Nexus S;Pixel 3XL;234;77;98;37;0;4050;antennapod
surf_cropped;Nexus S;Nexus 6;234;77;88;37;0;3514;antennapod
akaze_cropped;Nexus5;Nexus 4;170;52;142;37;8;980;passandroid
akaze_cropped;Pixel 3;Nexus 4;170;52;148;37;12;960;passandroid
surf_cropped;Nexus5;Nexus 6;170;52;159;37;22;1430;passandroid
surf_cropped;Nexus5;Nexus 6p;170;52;158;37;24;1370;passandroid
surf_cropped;Nexus S;Nexus 6;167;50;131;37;9;1590;passandroid
surf_cropped;Nexus S;Nexus 6p;167;50;135;37;7;1710;passandroid
surf_cropped;Pixel 3;Nexus S;167;50;138;37;9;260;passandroid
surf_cropped;Nexus5;Nexus S;234;77;147;38;2;714;antennapod
surf_cropped;Nexus S;Pixel 2xl;234;77;98;38;0;4087;antennapod
eyeautomate;Pixel 3;Pixel XL;170;52;139;38;15;487;passandroid
eyeautomate;Pixel 3;Pixel 3XL;170;52;137;38;11;419.5;passandroid
surf_cropped;Nexus5;Pixel 2xl;170;52;165;38;27;1600;passandroid
surf_cropped;Nexus5;Pixel XL;170;52;160;38;24;1670;passandroid
surf_cropped;Nexus5;Pixel 3a XL;170;52;156;38;19;2190;passandroid
surf_cropped;Nexus S;Pixel 2xl;167;50;144;38;12;1750;passandroid
surf_cropped;Nexus S;Pixel XL;167;50;144;38;13;1390;passandroid
surf_cropped;Nexus S;Pixel 3a XL;167;50;155;38;19;1130;passandroid
eyeautomate;Nexus5;Nexus5x;234;77;116;39;0;503;antennapod
sikuli;Pixel 3;Nexus 4;234;77;145;39;0;389;antennapod
surf_cropped;Nexus S;Pixel XL;234;77;92;39;0;3363;antennapod
eyeautomate;Nexus5;Pixel 3;170;52;145;39;9;523.8;passandroid
eyeautomate;Nexus5;Pixel 3A;170;52;149;39;13;638.3;passandroid
eyeautomate;Pixel 3;Pixel 2xl;170;52;148;39;15;469.2;passandroid
eyeautomate;Pixel 3;Nexus 6;170;52;144;39;15;553.4;passandroid
surf_cropped;Nexus5;Nexus5x;170;52;160;39;22;1140;passandroid
surf_cropped;Nexus S;Nexus5x;167;50;147;39;12;1330;passandroid
eyeautomate;Nexus5;Nexus 6p;234;77;91;40;0;233;antennapod
akaze_cropped;Nexus5;Nexus 4;234;77;152;40;6;612;antennapod
sift_cropped;Nexus5;Nexus S;234;77;164;40;2;816;antennapod
eyeautomate;Nexus S;Nexus S;167;50;149;40;18;975.2;passandroid
eyeautomate;Pixel 3;Nexus5x;170;52;152;40;16;420.9;passandroid
surf_cropped;Nexus5;Pixel;170;52;162;40;24;1360;passandroid
surf_cropped;Nexus5;Pixel 3XL;170;52;165;40;26;1780;passandroid
surf_cropped;Nexus5;Nexus 4;170;52;143;40;15;960;passandroid
surf_cropped;Nexus S;Pixel;167;50;149;40;13;1100;passandroid
surf_cropped;Nexus S;Pixel 3XL;167;50;146;40;12;1600;passandroid
surf_cropped;Nexus S;Nexus 4;167;50;133;40;8;1020;passandroid
akaze_fullscreen;Pixel 3;Nexus S;167;50;138;40;8;740;passandroid
eyeautomate;Nexus5;Pixel 2;234;77;144;41;0;337;antennapod
eyeautomate;Pixel 3;Pixel;170;52;153;41;16;683.2;passandroid
eyeautomate;Pixel 3;Pixel 2;170;52;141;41;14;680.5;passandroid
surf_cropped;Pixel 3;Nexus 4;170;52;140;41;9;400;passandroid
surf_fullscreen;Nexus5;Nexus S;167;50;151;41;17;770;passandroid
surf_cropped;Nexus S;Nexus 6p;234;77;92;42;0;3450;antennapod
surf_cropped;Nexus5;Pixel 3;170;52;158;42;21;1370;passandroid
surf_cropped;Nexus S;Pixel 3;167;50;153;42;17;1150;passandroid
sift_fullscreen;Pixel 3;Nexus S;167;50;121;42;1;830;passandroid
surf_fullscreen;Pixel 3;Nexus S;167;50;153;42;17;660;passandroid
eyeautomate;Nexus5;Pixel XL;234;77;125;44;0;193;antennapod
surf_cropped;Nexus S;Pixel 3a XL;234;77;116;44;1;2557;antennapod
akaze_cropped;Nexus5;Pixel 3a XL;170;52;127;44;1;1300;passandroid
akaze_cropped;Pixel 3;Nexus 6p;170;52;131;44;6;1620;passandroid
akaze_fullscreen;Nexus S;Pixel XL;167;50;157;44;24;990;passandroid
akaze_fullscreen;Nexus S;Pixel 3a XL;167;50;130;44;1;710;passandroid
akaze_fullscreen;Nexus S;Nexus 6p;167;50;150;44;21;980;passandroid
sift_fullscreen;Nexus5;Nexus S;167;50;147;44;13;830;passandroid
surf_fullscreen;Nexus S;Nexus5x;167;50;159;44;22;590;passandroid
surf_fullscreen;Nexus S;Nexus 4;167;50;158;44;22;420;passandroid
surf_fullscreen;Nexus S;Pixel 3a XL;167;50;157;44;19;610;passandroid
surf_fullscreen;Nexus S;Pixel 2;167;50;152;44;20;580;passandroid
akaze_cropped;Nexus5;Pixel 3XL;234;77;167;45;4;1756;antennapod
eyeautomate;Pixel 3;Nexus 4;170;52;157;45;19;453.9;passandroid
eyeautomate;Pixel 3;Pixel 3;170;52;156;45;19;786.9;passandroid
eyeautomate;Pixel 3;Pixel 3A;170;52;157;45;19;551.5;passandroid
sikuli;Pixel 3;Nexus 4;170;52;131;45;16;344.8;passandroid
akaze_cropped;Nexus5;Nexus 6p;170;52;157;45;22;1790;passandroid
akaze_cropped;Pixel 3;Pixel 2xl;170;52;136;45;6;1960;passandroid
akaze_cropped;Pixel 3;Pixel XL;170;52;137;45;6;1900;passandroid
akaze_cropped;Pixel 3;Pixel 3XL;170;52;135;45;6;2050;passandroid
sift_cropped;Pixel 3;Nexus S;167;50;139;45;9;910;passandroid
surf_cropped;Nexus S;Nexus5;167;50;153;45;19;1940;passandroid
akaze_fullscreen;Nexus S;Pixel 3XL;167;50;157;45;21;1100;passandroid
akaze_fullscreen;Nexus S;Nexus 6;167;50;157;45;20;1020;passandroid
akaze_fullscreen;Nexus S;Pixel 2;167;50;151;45;25;620;passandroid
sift_fullscreen;Nexus S;Nexus 4;167;50;157;45;20;470;passandroid
surf_fullscreen;Nexus S;Pixel;167;50;160;45;23;610;passandroid
surf_fullscreen;Nexus S;Pixel 3;167;50;159;45;21;640;passandroid
surf_fullscreen;Nexus S;Pixel 3A;167;50;158;45;21;660;passandroid
akaze_cropped;Pixel 3;Nexus 4;234;77;147;46;1;621;antennapod
surf_cropped;Nexus5;Nexus 4;234;77;157;46;1;1272;antennapod
eyeautomate;Nexus5;Nexus5;170;52;151;46;21;405.8;passandroid
akaze_cropped;Nexus5;Pixel 2xl;170;52;138;46;5;1890;passandroid
akaze_cropped;Nexus5;Pixel XL;170;52;162;46;23;1570;passandroid
akaze_cropped;Nexus5;Pixel 3XL;170;52;138;46;6;1820;passandroid
akaze_cropped;Nexus5;Nexus 6;170;52;162;46;23;1790;passandroid
akaze_cropped;Pixel 3;Nexus 6;170;52;138;46;6;1620;passandroid
sift_cropped;Nexus5;Pixel 3XL;170;52;167;46;28;2610;passandroid
sift_cropped;Nexus5;Nexus 4;170;52;140;46;5;2440;passandroid
sift_cropped;Nexus S;Pixel 3XL;167;50;133;46;2;1380;passandroid
sift_cropped;Nexus S;Nexus 4;167;50;160;46;24;440;passandroid
surf_cropped;Nexus5;Pixel 3A;170;52;163;46;25;1300;passandroid
surf_cropped;Nexus S;Pixel 3A;167;50;155;46;6;1210;passandroid
surf_cropped;Pixel 3;Pixel 2xl;170;52;160;46;23;1410;passandroid
akaze_fullscreen;Nexus S;Nexus5x;167;50;157;46;19;630;passandroid
akaze_fullscreen;Nexus S;Pixel 2xl;167;50;135;46;21;1110;passandroid
akaze_fullscreen;Nexus S;Pixel;167;50;157;46;19;650;passandroid
akaze_fullscreen;Nexus S;Nexus 4;167;50;161;46;25;400;passandroid
sift_fullscreen;Nexus S;Pixel 3XL;167;50;128;46;2;1380;passandroid
sift_fullscreen;Nexus S;Pixel 2;167;50;131;46;4;810;passandroid
surf_fullscreen;Nexus S;Pixel XL;167;50;161;46;24;860;passandroid
surf_fullscreen;Nexus S;Nexus 6p;167;50;156;46;23;840;passandroid
eyeautomate;Nexus5;Pixel 3XL;234;77;102;47;1;267;antennapod
eyeautomate;Pixel 3;Pixel 3a XL;234;77;130;47;1;414;antennapod
akaze_cropped;Nexus5;Pixel 2xl;234;77;166;47;4;1842;antennapod
akaze_cropped;Nexus5;Nexus 6;234;77;162;47;2;1621;antennapod
akaze_cropped;Pixel 3;Pixel 2;170;52;158;47;24;1430;passandroid
sift_cropped;Nexus5;Pixel 2xl;170;52;167;47;28;2510;passandroid
sift_cropped;Nexus5;Pixel XL;170;52;167;47;28;1720;passandroid
sift_cropped;Nexus5;Nexus 6p;170;52;158;47;25;2120;passandroid
sift_cropped;Nexus5;Pixel 3A;170;52;164;47;26;1460;passandroid
sift_cropped;Nexus S;Pixel 2xl;167;50;161;47;23;2190;passandroid
sift_cropped;Nexus S;Pixel XL;167;50;162;47;25;1190;passandroid
sift_cropped;Nexus S;Nexus 6p;167;50;153;47;21;1260;passandroid
sift_cropped;Nexus S;Pixel 3A;167;50;146;47;13;1010;passandroid
akaze_fullscreen;Nexus5;Pixel 2;170;52;159;47;25;1210;passandroid
akaze_fullscreen;Pixel 3;Nexus 4;170;52;160;47;24;990;passandroid
sift_fullscreen;Nexus5;Nexus 4;170;52;156;47;18;1020;passandroid
sift_fullscreen;Nexus S;Pixel 2xl;167;50;135;47;3;1390;passandroid
sift_fullscreen;Nexus S;Pixel;167;50;135;47;3;780;passandroid
sift_fullscreen;Nexus S;Pixel XL;167;50;158;47;23;1220;passandroid
sift_fullscreen;Nexus S;Nexus 6;167;50;155;47;21;1220;passandroid
sift_fullscreen;Nexus S;Nexus 6p;167;50;153;47;22;1250;passandroid
surf_fullscreen;Nexus S;Nexus 6;167;50;162;47;24;870;passandroid
eyeautomate;Nexus5;Pixel 2xl;234;77;106;48;0;267;antennapod
eyeautomate;Nexus S;Nexus5;234;77;136;48;0;270;antennapod
akaze_cropped;Nexus5;Pixel XL;234;77;150;48;3;1643;antennapod
akaze_cropped;Nexus5;Nexus 6p;234;77;160;48;5;1574;antennapod
akaze_cropped;Nexus5;Nexus5x;170;52;141;48;7;1400;passandroid
akaze_cropped;Nexus5;Pixel;170;52;141;48;7;1230;passandroid
akaze_cropped;Nexus5;Pixel 2;170;52;136;48;7;1270;passandroid
sift_cropped;Nexus5;Pixel;170;52;167;48;28;1320;passandroid
sift_cropped;Nexus5;Nexus 6;170;52;166;48;27;2050;passandroid
sift_cropped;Nexus5;Pixel 2;170;52;160;48;26;1420;passandroid
sift_cropped;Nexus S;Nexus5;167;50;164;48;26;720;passandroid
sift_cropped;Nexus S;Pixel;167;50;159;48;23;700;passandroid
sift_cropped;Nexus S;Nexus 6;167;50;159;48;22;1280;passandroid
sift_cropped;Nexus S;Pixel 2;167;50;152;48;21;770;passandroid
sift_cropped;Pixel 3;Nexus 4;170;52;129;48;1;1080;passandroid
akaze_fullscreen;Nexus S;Pixel 3A;167;50;137;48;26;720;passandroid
akaze_fullscreen;Pixel 3;Pixel 3XL;170;52;163;48;21;1710;passandroid
akaze_fullscreen;Pixel 3;Nexus 6p;170;52;159;48;25;1590;passandroid
sift_fullscreen;Nexus S;Nexus5x;167;50;138;48;4;790;passandroid
sift_fullscreen;Nexus S;Pixel 3a XL;167;50;163;48;25;820;passandroid
sift_fullscreen;Nexus S;Pixel 3;167;50;141;48;9;830;passandroid
sift_fullscreen;Nexus S;Pixel 3A;167;50;141;48;25;826;passandroid
sift_fullscreen;Pixel 3;Nexus 4;170;52;161;48;25;1030;passandroid
surf_fullscreen;Nexus S;Nexus5;167;50;164;48;26;700;passandroid
surf_fullscreen;Nexus S;Pixel 2xl;167;50;164;48;26;920;passandroid
surf_fullscreen;Nexus S;Pixel 3XL;167;50;163;48;25;970;passandroid
surf_fullscreen;Pixel 3;Nexus 4;170;52;167;48;27;830;passandroid
surf_fullscreen;Pixel 3;Nexus 6p;170;52;159;48;25;1250;passandroid
akaze_cropped;Pixel 3;Nexus5;170;52;165;49;26;1250;passandroid
akaze_cropped;Pixel 3;Nexus5x;170;52;166;49;27;1230;passandroid
akaze_cropped;Pixel 3;Pixel;170;52;166;49;27;1400;passandroid
akaze_cropped;Pixel 3;Pixel 3;170;52;166;49;27;1480;passandroid
akaze_cropped;Pixel 3;Pixel 3A;170;52;165;49;26;1380;passandroid
sift_cropped;Nexus5;Nexus5x;170;52;168;49;29;1540;passandroid
sift_cropped;Nexus5;Pixel 3a XL;170;52;162;49;24;1400;passandroid
sift_cropped;Nexus S;Nexus5x;167;50;162;49;25;710;passandroid
sift_cropped;Nexus S;Pixel 3a XL;167;50;146;49;13;840;passandroid
surf_cropped;Pixel 3;Pixel 3XL;170;52;163;49;25;910;passandroid
surf_cropped;Pixel 3;Pixel 3a XL;170;52;165;49;21;560;passandroid
akaze_fullscreen;Nexus5;Nexus5x;170;52;166;49;27;1190;passandroid
akaze_fullscreen;Nexus5;Pixel;170;52;166;49;27;1120;passandroid
akaze_fullscreen;Nexus5;Nexus 4;170;52;163;49;25;960;passandroid
akaze_fullscreen;Nexus5;Nexus 6p;170;52;155;49;21;1640;passandroid
akaze_fullscreen;Nexus5;Pixel 3;170;52;166;49;27;1260;passandroid
akaze_fullscreen;Nexus5;Pixel 3A;170;52;165;49;26;1320;passandroid
akaze_fullscreen;Nexus S;Nexus5;167;50;162;49;25;650;passandroid
akaze_fullscreen;Nexus S;Pixel 3;167;50;164;49;27;710;passandroid
akaze_fullscreen;Pixel 3;Nexus5x;170;52;166;49;27;1230;passandroid
akaze_fullscreen;Pixel 3;Pixel 2xl;170;52;166;49;27;1670;passandroid
akaze_fullscreen;Pixel 3;Pixel;170;52;166;49;27;1230;passandroid
akaze_fullscreen;Pixel 3;Pixel 2;170;52;160;49;26;1250;passandroid
sift_fullscreen;Nexus5;Pixel 3XL;170;52;165;49;26;1860;passandroid
sift_fullscreen;Nexus5;Pixel 3a XL;170;52;162;49;23;1310;passandroid
sift_fullscreen;Nexus5;Pixel 2;170;52;159;49;27;1350;passandroid
sift_fullscreen;Nexus S;Nexus5;167;50;162;49;26;780;passandroid
sift_fullscreen;Pixel 3;Pixel 2;170;52;160;49;26;1330;passandroid
surf_fullscreen;Nexus5;Nexus5x;170;52;166;49;27;1130;passandroid
surf_fullscreen;Nexus5;Nexus 4;170;52;159;49;21;940;passandroid
surf_fullscreen;Nexus5;Pixel 3a XL;170;52;165;49;27;1050;passandroid
surf_fullscreen;Pixel 3;Pixel 3XL;170;52;165;49;25;1350;passandroid
surf_fullscreen;Pixel 3;Pixel 3a XL;170;52;165;49;26;1010;passandroid
sikuli;Nexus S;Nexus S;167;50;167;50;30;418;passandroid
akaze_cropped;Nexus5;Pixel 3;170;52;167;50;28;1260;passandroid
akaze_cropped;Pixel 3;Pixel 3a XL;170;52;165;50;26;2220;passandroid
sift_cropped;Nexus5;Pixel 3;170;52;167;50;28;1420;passandroid
sift_cropped;Nexus S;Nexus S;167;50;167;50;30;280;passandroid
sift_cropped;Nexus S;Pixel 3;167;50;148;50;14;820;passandroid
sift_cropped;Pixel 3;Nexus5;170;52;156;50;18;1340;passandroid
sift_cropped;Pixel 3;Pixel 2xl;170;52;166;50;27;1990;passandroid
sift_cropped;Pixel 3;Nexus 6p;170;52;154;50;21;1770;passandroid
surf_cropped;Nexus5;Nexus S;167;50;136;50;10;850;passandroid
surf_cropped;Nexus S;Nexus S;167;50;150;50;12;1300;passandroid
surf_cropped;Pixel 3;Nexus5;170;52;157;50;21;620;passandroid
surf_cropped;Pixel 3;Pixel XL;170;52;161;50;22;860;passandroid
surf_cropped;Pixel 3;Nexus 6;170;52;165;50;26;880;passandroid
surf_cropped;Pixel 3;Nexus 6p;170;52;158;50;24;900;passandroid
surf_cropped;Pixel 3;Pixel 2;170;52;159;50;24;590;passandroid
akaze_fullscreen;Nexus5;Pixel 2xl;170;52;160;50;21;1780;passandroid
akaze_fullscreen;Nexus5;Pixel 3XL;170;52;159;50;20;1690;passandroid
akaze_fullscreen;Nexus S;Nexus S;167;50;168;50;29;280;passandroid
